Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Marley;0;0;0;0;0;0;0;0;0;0;0;20;15;11;23;21
Marlon;0;0;0;0;0;10;0;12;10;15;0;18;13;20;18;17
Martin;493;428;382;332;304;287;231;199;168;159;138;96;104;87;70;78
Marwan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Marvin;0;0;0;0;10;0;0;10;0;10;12;10;12;0;12;16
Marwin;0;0;0;0;0;0;10;12;0;0;0;0;0;0;0;10
Mason;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
Mateo;0;0;0;0;0;0;0;14;21;12;20;14;24;27;39;26
Matheo;0;0;0;0;0;0;0;14;14;24;24;25;28;32;40;66
Matheus;0;0;0;0;0;0;10;10;14;16;10;15;12;10;15;23
Mathias;123;134;84;78;73;80;47;39;46;35;41;27;25;17;25;18
Mats;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Matteo;0;0;0;0;0;0;15;17;25;25;32;37;45;46;53;64
Matteus;0;11;20;19;22;22;30;30;32;39;36;31;30;47;45;37
Matthias;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mattias;333;323;288;222;196;178;173;118;129;111;99;79;62;53;57;66
Mattis;19;13;26;27;37;30;23;26;30;29;21;32;37;25;34;25
Mauritz;0;0;0;0;10;12;0;12;11;0;0;11;0;0;0;0
Max;356;394;435;474;518;543;649;636;668;553;538;579;524;460;488;396
Maxim;0;0;0;0;0;0;0;0;0;14;0;12;10;11;13;0
Maximiliam;0;0;0;0;0;0;0;10;0;0;0;0;12;0;0;12
Maximilian;39;51;45;72;93;88;120;92;90;123;163;133;155;142;145;153
Maximillian;0;0;0;0;13;0;10;0;0;0;10;12;0;13;12;0
Maximus;0;0;0;0;21;16;20;24;31;23;37;34;22;24;23;22
Mehdi;10;0;0;0;0;0;0;0;0;0;15;0;0;14;0;0
Mehmet;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0
Melker;49;65;129;142;183;230;274;274;310;313;284;311;368;382;350;346
Melvin;19;24;69;130;207;261;318;445;495;450;459;483;431;365;401;412
Melwin;0;0;27;19;42;52;43;104;143;127;113;133;127;105;103;142
Michael;62;52;59;41;51;41;43;30;38;22;34;32;30;32;31;23
Michel;16;19;17;0;16;11;13;14;0;0;0;0;0;0;0;0
Miguel;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
Mika;0;0;12;0;0;0;0;0;0;0;10;0;0;0;0;15
Mikael;154;134;113;106;72;71;61;55;58;57;46;43;55;53;43;50
Mikail;0;0;0;10;0;0;0;0;11;11;0;10;18;0;0;12
Mike;0;0;0;11;13;0;0;0;0;12;0;0;0;0;0;11
Milad;0;11;0;0;0;0;0;0;10;0;0;0;0;0;0;0
Milan;0;0;10;0;0;0;12;12;13;18;23;24;18;19;27;36
Miliam;0;0;0;0;0;0;0;0;0;0;0;0;10;11;22;20
Milian;0;0;0;0;0;0;0;0;13;16;25;30;30;49;54;75
Milio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Mille;0;0;0;0;0;0;24;33;40;37;67;78;65;64;67;64
Milo;0;0;0;0;0;0;0;34;52;95;144;259;370;300;281;317
Milton;17;19;22;44;27;46;68;117;112;180;171;169;196;184;180;212
Mingus;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
Mio;0;0;0;10;26;32;47;67;78;85;101;141;140;156;153;155
Miran;0;0;0;0;0;0;0;0;0;0;0;0;18;13;13;17
Miro;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0
Mohamad;11;12;14;12;0;15;17;0;11;10;0;13;10;19;15;0
Mohamed;44;53;56;37;32;34;40;42;51;46;62;66;67;72;106;125
Mohammad;25;26;23;25;25;36;35;32;41;33;30;37;40;47;43;42
Mohammed;47;50;47;41;67;44;58;60;56;63;69;87;83;70;91;85
Moltas;0;0;0;14;10;15;23;18;27;22;27;0;14;15;26;14
Morgan;34;31;43;33;34;31;39;37;38;31;22;27;20;22;13;21
Morris;0;0;11;0;10;20;31;19;35;54;49;45;47;48;48;42
Moses;0;0;0;0;0;12;0;0;10;12;0;10;10;0;0;11
Mostafa;0;0;10;0;10;0;0;0;14;0;0;12;0;0;0;0
Muhamed;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0
Muhammad;0;0;0;0;0;0;0;0;16;13;0;13;18;15;20;32
Muhammed;0;0;10;10;11;0;11;10;0;23;18;13;14;15;18;17
Musa;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
Musab;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
Mustafa;22;27;22;20;25;17;25;26;28;36;41;49;40;43;37;51
Måns;109;128;109;138;146;161;181;176;254;241;196;162;184;147;104;128
Mårten;33;29;14;16;21;22;17;16;0;11;0;10;0;0;10;0
Nahom;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
Natan;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0
Natanael;0;0;10;0;10;13;13;10;10;11;12;12;12;10;12;15
Nathan;0;0;0;0;11;12;16;17;19;20;23;15;21;27;31;38
Nathanael;0;0;0;0;12;10;0;12;11;0;12;17;10;19;12;12
Nathaniel;0;0;0;0;0;0;0;0;0;14;11;16;15;18;18;28
Nelson;0;0;0;0;0;0;0;0;10;10;0;0;15;15;17;26
