Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Hailey;0;0;0;0;0;0;0;0;0;13;0;16;19;33;48;70
Hailie;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0
Haley;0;0;0;0;0;0;0;0;0;11;0;0;18;14;20;14
Halima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Hana;0;11;0;0;10;0;13;17;13;0;25;27;21;22;26;20
Hanan;0;11;0;11;0;0;0;0;0;0;0;0;16;11;0;11
Hani;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Hanin;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
Hanna;846;856;854;838;778;754;668;659;556;463;408;355;308;259;217;203
Hannah;151;173;165;186;197;179;175;138;149;101;104;89;77;65;74;58
Harriet;0;0;0;0;0;0;0;0;10;0;14;10;21;23;39;35
Havanna;0;0;0;0;0;0;0;15;0;17;16;22;27;21;18;18
Havin;0;0;0;0;0;0;0;21;0;11;0;0;0;0;0;12
Haylie;0;0;0;0;0;0;0;0;0;0;0;0;0;13;17;16
Hedda;50;38;62;73;115;106;87;127;93;106;135;130;150;136;133;159
Hedvig;34;40;44;43;55;54;69;61;57;93;108;109;121;125;127;106
Hedwig;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0
Heidi;0;0;0;16;15;14;10;12;13;14;18;14;21;25;18;28
Helen;14;11;15;10;10;12;10;0;0;0;0;0;0;11;0;11
Helena;48;35;36;25;25;34;23;20;20;23;24;29;28;32;24;28
Helga;0;0;0;0;0;0;0;0;0;0;0;11;0;0;10;0
Helin;12;11;15;27;12;16;17;19;18;22;24;19;26;17;18;24
Henny;0;0;11;0;0;0;0;0;0;0;13;11;13;0;15;13
Henrietta;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hiba;0;0;0;11;11;0;0;13;10;10;0;11;12;0;11;13
Hilda;61;76;86;111;121;114;138;149;189;186;169;160;176;153;159;174
Hilde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0
Hillevi;14;11;0;0;14;0;17;11;18;24;22;17;29;30;27;32
Hilma;18;24;54;44;59;52;67;80;89;95;83;100;114;126;111;146
Hoda;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hollie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12
Holly;0;0;0;0;0;0;0;0;12;15;27;32;33;51;40;57
Huda;0;0;0;0;0;0;0;0;0;0;0;0;0;15;10;0
Hulda;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;11
Ibtisam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Ida;747;735;810;863;935;973;1012;904;849;763;639;574;575;457;452;367
Idun;0;0;0;0;14;0;13;24;36;31;29;37;63;53;74;92
Ilma;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
Ilona;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;0
Ilse;0;0;0;0;0;0;11;0;0;0;0;0;13;0;0;16
Iman;13;16;30;23;19;28;19;12;14;17;22;14;16;20;23;22
Ina;19;29;12;20;18;20;26;26;21;27;26;21;20;19;11;0
Indra;0;0;0;0;18;45;40;30;31;30;31;21;22;17;14;10
Ines;12;0;13;12;15;23;22;39;57;40;74;93;98;143;135;177
Inez;13;0;21;21;26;38;47;51;82;102;104;131;150;140;123;119
Ingrid;40;36;39;45;34;68;94;96;112;143;172;151;182;205;205;225
Irem;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
Iris;19;11;12;24;31;36;45;67;87;96;149;156;163;197;187;229
Irma;28;33;36;59;70;70;97;90;106;110;122;111;96;76;89;78
Isa;42;36;50;41;57;56;74;70;73;72;55;76;68;38;57;64
Isabel;42;47;41;51;53;54;72;72;79;67;100;75;94;95;76;112
Isabell;97;85;105;81;68;98;96;110;75;98;111;105;128;112;86;104
Isabella;199;203;196;212;232;238;219;219;271;310;311;331;390;337;364;316
Isabelle;222;209;243;227;254;264;242;283;323;293;331;322;310;351;359;299
Isadora;0;0;0;0;0;0;0;0;0;10;0;10;11;15;16;15
Isis;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
Isolde;0;0;0;0;14;0;13;16;14;25;31;36;32;38;23;36
Isra;0;0;0;0;0;12;0;0;10;11;10;19;21;14;14;15
Iza;0;0;0;14;13;18;34;30;19;28;19;17;15;14;12;10
Izabel;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
Izabell;10;12;26;15;13;14;14;14;14;12;12;17;13;12;11;0
Izabella;33;46;47;48;41;63;52;65;51;62;74;50;69;44;50;35
Izabelle;18;24;37;43;42;43;42;53;39;38;34;28;33;18;32;25
Jackie;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10;11
Jacqueline;19;25;14;20;17;15;13;11;15;17;10;0;20;13;18;17
Jana;0;0;0;0;0;0;0;0;0;10;0;11;16;11;0;17
Janina;18;11;11;11;0;0;0;11;0;0;0;0;0;0;0;0
Jasmin;49;44;39;44;45;50;48;60;56;38;57;47;47;50;46;39
Jasmina;12;15;13;0;10;11;0;11;10;11;15;21;15;12;15;12
Jasmine;82;81;77;89;77;65;77;82;89;80;85;80;71;72;67;61
Jeanette;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jenna;10;0;10;15;13;16;17;18;20;14;18;25;31;17;13;20
Jennie;66;73;55;49;35;42;24;33;25;11;11;13;14;0;0;0
Jennifer;340;358;388;338;294;300;239;180;159;119;102;99;87;85;46;66
Jenny;205;159;159;114;93;75;73;68;53;45;35;26;29;22;24;16
Jessica;188;181;137;90;87;83;75;56;68;47;50;39;50;36;51;26
Jessie;0;0;11;0;0;0;0;13;0;0;10;0;0;0;12;0
Jessika;14;18;24;0;14;0;0;0;0;0;0;0;0;0;0;0
Jill;0;10;10;0;0;0;12;13;11;0;0;17;15;0;0;14
Joanna;36;28;24;24;22;20;19;20;18;24;0;0;13;12;13;0
Johanna;713;640;521;485;467;407;283;253;224;165;136;121;93;82;62;59
Jolene;0;0;0;0;0;0;0;0;0;0;0;13;11;19;16;0
Jolie;0;0;0;0;0;0;0;0;0;0;0;13;19;18;12;19
